country;variable;percentile;year;value;age;pop
KS;acainc992j;p4p100;2003;2124.8;992;j
KS;acainc992j;p4p100;2004;2255.9;992;j
KS;acainc992j;p4p100;2005;2306.5;992;j
KS;acainc992j;p4p100;2006;2346.2;992;j
KS;acainc992j;p4p100;2007;2490.9;992;j
KS;acainc992j;p4p100;2008;2567.9;992;j
KS;acainc992j;p4p100;2009;2548.1;992;j
KS;acainc992j;p4p100;2010;2677.0;992;j
KS;acainc992j;p4p100;2011;2826.9;992;j
KS;acainc992j;p4p100;2012;2856.8;992;j
KS;acainc992j;p4p100;2013;2970.6;992;j
KS;acainc992j;p4p100;2014;3041.8;992;j
KS;acainc992j;p4p100;2015;3190.3;992;j
KS;acainc992j;p4p100;2016;3333.4;992;j
KS;acainc992j;p4p100;2017;3547.1;992;j
KS;acainc992j;p4p100;2018;3664.0;992;j
KS;acainc992j;p4p100;2019;3830.0;992;j
KS;acainc992j;p4p100;2020;3575.8;992;j
KS;acainc992j;p80p90;2003;3374.5;992;j
KS;acainc992j;p80p90;2004;3616.2;992;j
KS;acainc992j;p80p90;2005;3733.8;992;j
KS;acainc992j;p80p90;2006;3763.1;992;j
KS;acainc992j;p80p90;2007;4027.2;992;j
KS;acainc992j;p80p90;2008;4136.4;992;j
KS;acainc992j;p80p90;2009;4093.9;992;j
KS;acainc992j;p80p90;2010;4359.1;992;j
KS;acainc992j;p80p90;2011;4493.9;992;j
KS;acainc992j;p80p90;2012;4526.9;992;j
KS;acainc992j;p80p90;2013;4734.6;992;j
KS;acainc992j;p80p90;2014;4756.7;992;j
KS;acainc992j;p80p90;2015;5020.3;992;j
KS;acainc992j;p80p90;2016;5227.9;992;j
KS;acainc992j;p80p90;2017;5566.9;992;j
KS;acainc992j;p80p90;2018;5757.1;992;j
KS;acainc992j;p80p90;2019;6023.8;992;j
KS;acainc992j;p80p90;2020;5627.4;992;j
KS;aptinc992j;p21p22;1980;1443.7;992;j
KS;aptinc992j;p21p22;1981;1443.3;992;j
KS;aptinc992j;p21p22;1982;1442.9;992;j
KS;aptinc992j;p21p22;1983;1442.2;992;j
KS;aptinc992j;p21p22;1984;1441.4;992;j
KS;aptinc992j;p21p22;1985;1440.3;992;j
KS;aptinc992j;p21p22;1986;1439.6;992;j
KS;aptinc992j;p21p22;1987;1440.0;992;j
KS;aptinc992j;p21p22;1988;1443.2;992;j
KS;aptinc992j;p21p22;1989;1451.0;992;j
KS;aptinc992j;p21p22;1990;1464.5;992;j
KS;aptinc992j;p21p22;1991;1290.9;992;j
KS;aptinc992j;p21p22;1992;940.2;992;j
KS;aptinc992j;p21p22;1993;687.6;992;j
KS;aptinc992j;p21p22;1994;686.5;992;j
KS;aptinc992j;p21p22;1995;745.0;992;j
KS;aptinc992j;p21p22;1996;811.9;992;j
KS;aptinc992j;p21p22;1997;879.4;992;j
KS;aptinc992j;p21p22;1998;802.8;992;j
KS;aptinc992j;p21p22;1999;620.1;992;j
KS;aptinc992j;p21p22;2000;678.0;992;j
KS;aptinc992j;p21p22;2001;893.1;992;j
KS;aptinc992j;p21p22;2002;927.7;992;j
KS;aptinc992j;p21p22;2003;879.9;992;j
KS;aptinc992j;p21p22;2004;892.7;992;j
KS;aptinc992j;p21p22;2005;875.6;992;j
KS;aptinc992j;p21p22;2006;930.6;992;j
KS;aptinc992j;p21p22;2007;972.2;992;j
KS;aptinc992j;p21p22;2008;925.1;992;j
KS;aptinc992j;p21p22;2009;948.3;992;j
KS;aptinc992j;p21p22;2010;954.3;992;j
KS;aptinc992j;p21p22;2011;1285.9;992;j
KS;aptinc992j;p21p22;2012;1161.7;992;j
KS;aptinc992j;p21p22;2013;1328.1;992;j
KS;aptinc992j;p21p22;2014;1309.5;992;j
KS;aptinc992j;p21p22;2015;1385.7;992;j
KS;aptinc992j;p21p22;2016;1441.1;992;j
KS;aptinc992j;p21p22;2017;1444.6;992;j
KS;aptinc992j;p21p22;2018;1490.5;992;j
KS;aptinc992j;p21p22;2019;1567.0;992;j
KS;aptinc992j;p21p22;2020;1478.3;992;j
KS;aptinc992j;p21p22;2021;1553.2;992;j
KS;bdiinc992j;p99.1p100;2003;1.57936799526215;992;j
KS;bdiinc992j;p99.1p100;2004;1.53311800956726;992;j
KS;bdiinc992j;p99.1p100;2005;1.52239537239075;992;j
KS;bdiinc992j;p99.1p100;2006;1.53146076202393;992;j
KS;bdiinc992j;p99.1p100;2007;1.46469259262085;992;j
KS;bdiinc992j;p99.1p100;2008;1.52612900733948;992;j
KS;bdiinc992j;p99.1p100;2009;1.42549669742584;992;j
KS;bdiinc992j;p99.1p100;2010;1.47099804878235;992;j
KS;bdiinc992j;p99.1p100;2011;1.55154621601105;992;j
KS;bdiinc992j;p99.1p100;2012;1.61143231391907;992;j
KS;bdiinc992j;p99.1p100;2013;1.60266280174255;992;j
KS;bdiinc992j;p99.1p100;2014;1.80136454105377;992;j
KS;bdiinc992j;p99.1p100;2015;1.81882500648498;992;j
KS;bdiinc992j;p99.1p100;2016;1.77087354660034;992;j
KS;bdiinc992j;p99.1p100;2017;1.73006391525269;992;j
KS;bdiinc992j;p99.1p100;2018;1.72262644767761;992;j
KS;bdiinc992j;p99.1p100;2019;1.71633780002594;992;j
KS;bdiinc992j;p99.1p100;2020;1.71333289146423;992;j
KS;bptinc992j;p90p100;1980;1.66936898231506;992;j
KS;bptinc992j;p90p100;1981;1.66936886310577;992;j
KS;bptinc992j;p90p100;1982;1.66936898231506;992;j
KS;bptinc992j;p90p100;1983;1.66936886310577;992;j
KS;bptinc992j;p90p100;1984;1.66936886310577;992;j
KS;bptinc992j;p90p100;1985;1.66936898231506;992;j
KS;bptinc992j;p90p100;1986;1.66936898231506;992;j
KS;bptinc992j;p90p100;1987;1.66936886310577;992;j
KS;bptinc992j;p90p100;1988;1.66936898231506;992;j
KS;bptinc992j;p90p100;1989;1.66936898231506;992;j
KS;bptinc992j;p90p100;1990;1.66936886310577;992;j
KS;bptinc992j;p90p100;1991;1.66936886310577;992;j
KS;bptinc992j;p90p100;1992;1.66936886310577;992;j
KS;bptinc992j;p90p100;1993;1.66936898231506;992;j
KS;bptinc992j;p90p100;1994;1.66936886310577;992;j
KS;bptinc992j;p90p100;1995;1.66936898231506;992;j
KS;bptinc992j;p90p100;1996;1.66936898231506;992;j
KS;bptinc992j;p90p100;1997;1.66936898231506;992;j
KS;bptinc992j;p90p100;1998;1.66936886310577;992;j
KS;bptinc992j;p90p100;1999;1.66936886310577;992;j
KS;bptinc992j;p90p100;2000;1.66936886310577;992;j
KS;bptinc992j;p90p100;2001;1.66936886310577;992;j
KS;bptinc992j;p90p100;2002;1.66936886310577;992;j
KS;bptinc992j;p90p100;2003;1.67284870147705;992;j
KS;bptinc992j;p90p100;2004;1.63068473339081;992;j
KS;bptinc992j;p90p100;2005;1.60675716400147;992;j
KS;bptinc992j;p90p100;2006;1.61983180046081;992;j
KS;bptinc992j;p90p100;2007;1.61834752559662;992;j
KS;bptinc992j;p90p100;2008;1.66518080234528;992;j
KS;bptinc992j;p90p100;2009;1.63323545455933;992;j
KS;bptinc992j;p90p100;2010;1.62597417831421;992;j
KS;bptinc992j;p90p100;2011;1.6567155122757;992;j
KS;bptinc992j;p90p100;2012;1.63971793651581;992;j
KS;bptinc992j;p90p100;2013;1.63497233390808;992;j
KS;bptinc992j;p90p100;2014;1.67636728286743;992;j
KS;bptinc992j;p90p100;2015;1.67073285579681;992;j
KS;bptinc992j;p90p100;2016;1.68794631958008;992;j
KS;bptinc992j;p90p100;2017;1.69758474826813;992;j
KS;bptinc992j;p90p100;2018;1.69388747215271;992;j
KS;bptinc992j;p90p100;2019;1.68745827674866;992;j
KS;bptinc992j;p90p100;2020;1.68144512176514;992;j
KS;bptinc992j;p90p100;2021;1.68353831768036;992;j
KS;gcainc992j;p0p100;2003;0.437579474159586;992;j
KS;gcainc992j;p0p100;2004;0.439274317202762;992;j
KS;gcainc992j;p0p100;2005;0.441901697089695;992;j
KS;gcainc992j;p0p100;2006;0.439641867486814;992;j
KS;gcainc992j;p0p100;2007;0.44422092388372;992;j
KS;gcainc992j;p0p100;2008;0.440619799097337;992;j
KS;gcainc992j;p0p100;2009;0.439026598144447;992;j
KS;gcainc992j;p0p100;2010;0.443565493532512;992;j
KS;gcainc992j;p0p100;2011;0.432762856571684;992;j
KS;gcainc992j;p0p100;2012;0.433426752176402;992;j
KS;gcainc992j;p0p100;2013;0.431663709288852;992;j
KS;gcainc992j;p0p100;2014;0.447829053720524;992;j
KS;gcainc992j;p0p100;2015;0.445610241259581;992;j
KS;gcainc992j;p0p100;2016;0.443773828575301;992;j
KS;gcainc992j;p0p100;2017;0.451722965583317;992;j
KS;gcainc992j;p0p100;2018;0.451762849137641;992;j
KS;gcainc992j;p0p100;2019;0.451536327482866;992;j
KS;gcainc992j;p0p100;2020;0.451025379673128;992;j
KS;scainc992j;p12p100;2003;0.9849;992;j
KS;scainc992j;p12p100;2004;0.9847;992;j
KS;scainc992j;p12p100;2005;0.9847;992;j
KS;scainc992j;p12p100;2006;0.9849;992;j
KS;scainc992j;p12p100;2007;0.9864;992;j
KS;scainc992j;p12p100;2008;0.9846;992;j
KS;scainc992j;p12p100;2009;0.9844;992;j
KS;scainc992j;p12p100;2010;0.9838;992;j
KS;scainc992j;p12p100;2011;0.9871;992;j
KS;scainc992j;p12p100;2012;0.9861;992;j
KS;scainc992j;p12p100;2013;0.9897;992;j
KS;scainc992j;p12p100;2014;0.99;992;j
KS;scainc992j;p12p100;2015;0.9901;992;j
KS;scainc992j;p12p100;2016;0.99;992;j
KS;scainc992j;p12p100;2017;0.9903;992;j
KS;scainc992j;p12p100;2018;0.9904;992;j
KS;scainc992j;p12p100;2019;0.9904;992;j
KS;scainc992j;p12p100;2020;0.9904;992;j
KS;scainc992j;p23p24;2003;0.0039;992;j
KS;scainc992j;p23p24;2004;0.0039;992;j
KS;scainc992j;p23p24;2005;0.0039;992;j
KS;scainc992j;p23p24;2006;0.0039;992;j
KS;scainc992j;p23p24;2007;0.0039;992;j
KS;scainc992j;p23p24;2008;0.0038;992;j
KS;scainc992j;p23p24;2009;0.0039;992;j
KS;scainc992j;p23p24;2010;0.0038;992;j
KS;scainc992j;p23p24;2011;0.004;992;j
KS;scainc992j;p23p24;2012;0.004;992;j
KS;scainc992j;p23p24;2013;0.004;992;j
KS;scainc992j;p23p24;2014;0.0037;992;j
KS;scainc992j;p23p24;2015;0.0038;992;j
KS;scainc992j;p23p24;2016;0.0039;992;j
KS;scainc992j;p23p24;2017;0.0038;992;j
KS;scainc992j;p23p24;2018;0.0038;992;j
KS;scainc992j;p23p24;2019;0.0038;992;j
KS;scainc992j;p23p24;2020;0.0038;992;j
KS;scainc992j;p40p50;2003;0.071;992;j
KS;scainc992j;p40p50;2004;0.0702;992;j
KS;scainc992j;p40p50;2005;0.0692;992;j
KS;scainc992j;p40p50;2006;0.0699;992;j
KS;scainc992j;p40p50;2007;0.0702;992;j
KS;scainc992j;p40p50;2008;0.0704;992;j
KS;scainc992j;p40p50;2009;0.0703;992;j
KS;scainc992j;p40p50;2010;0.0676;992;j
KS;scainc992j;p40p50;2011;0.0724;992;j
KS;scainc992j;p40p50;2012;0.0718;992;j
KS;scainc992j;p40p50;2013;0.0738;992;j
KS;scainc992j;p40p50;2014;0.0723;992;j
KS;scainc992j;p40p50;2015;0.0721;992;j
KS;scainc992j;p40p50;2016;0.0725;992;j
KS;scainc992j;p40p50;2017;0.0712;992;j
KS;scainc992j;p40p50;2018;0.0713;992;j
KS;scainc992j;p40p50;2019;0.0713;992;j
KS;scainc992j;p40p50;2020;0.0714;992;j
KS;sdiinc992j;p30p100;2003;0.9053;992;j
KS;sdiinc992j;p30p100;2004;0.9051;992;j
KS;sdiinc992j;p30p100;2005;0.9057;992;j
KS;sdiinc992j;p30p100;2006;0.9046;992;j
KS;sdiinc992j;p30p100;2007;0.9076;992;j
KS;sdiinc992j;p30p100;2008;0.9051;992;j
KS;sdiinc992j;p30p100;2009;0.9029;992;j
KS;sdiinc992j;p30p100;2010;0.9023;992;j
KS;sdiinc992j;p30p100;2011;0.9042;992;j
KS;sdiinc992j;p30p100;2012;0.9032;992;j
KS;sdiinc992j;p30p100;2013;0.9068;992;j
KS;sdiinc992j;p30p100;2014;0.9111;992;j
KS;sdiinc992j;p30p100;2015;0.9102;992;j
KS;sdiinc992j;p30p100;2016;0.909;992;j
KS;sdiinc992j;p30p100;2017;0.911;992;j
KS;sdiinc992j;p30p100;2018;0.9113;992;j
KS;sdiinc992j;p30p100;2019;0.911;992;j
KS;sdiinc992j;p30p100;2020;0.9105;992;j
KS;sdiinc992j;p93p94;2003;0.0219;992;j
KS;sdiinc992j;p93p94;2004;0.0222;992;j
KS;sdiinc992j;p93p94;2005;0.0224;992;j
KS;sdiinc992j;p93p94;2006;0.0222;992;j
KS;sdiinc992j;p93p94;2007;0.0226;992;j
KS;sdiinc992j;p93p94;2008;0.0223;992;j
KS;sdiinc992j;p93p94;2009;0.0225;992;j
KS;sdiinc992j;p93p94;2010;0.0228;992;j
KS;sdiinc992j;p93p94;2011;0.0215;992;j
KS;sdiinc992j;p93p94;2012;0.0214;992;j
KS;sdiinc992j;p93p94;2013;0.0212;992;j
KS;sdiinc992j;p93p94;2014;0.0211;992;j
KS;sdiinc992j;p93p94;2015;0.0211;992;j
KS;sdiinc992j;p93p94;2016;0.0211;992;j
KS;sdiinc992j;p93p94;2017;0.0215;992;j
KS;sdiinc992j;p93p94;2018;0.0215;992;j
KS;sdiinc992j;p93p94;2019;0.0215;992;j
KS;sdiinc992j;p93p94;2020;0.0215;992;j
KS;sdiinc992j;p99.996p99.997;2003;0.0003;992;j
KS;sdiinc992j;p99.996p99.997;2004;0.0003;992;j
KS;sdiinc992j;p99.996p99.997;2005;0.0003;992;j
KS;sdiinc992j;p99.996p99.997;2006;0.0003;992;j
KS;sdiinc992j;p99.996p99.997;2007;0.0002;992;j
KS;sdiinc992j;p99.996p99.997;2008;0.0003;992;j
KS;sdiinc992j;p99.996p99.997;2009;0.0002;992;j
KS;sdiinc992j;p99.996p99.997;2010;0.0003;992;j
KS;sdiinc992j;p99.996p99.997;2011;0.0003;992;j
KS;sdiinc992j;p99.996p99.997;2012;0.0004;992;j
KS;sdiinc992j;p99.996p99.997;2013;0.0004;992;j
KS;sdiinc992j;p99.996p99.997;2014;0.0006;992;j
KS;sdiinc992j;p99.996p99.997;2015;0.0006;992;j
KS;sdiinc992j;p99.996p99.997;2016;0.0005;992;j
KS;sdiinc992j;p99.996p99.997;2017;0.0005;992;j
KS;sdiinc992j;p99.996p99.997;2018;0.0005;992;j
KS;sdiinc992j;p99.996p99.997;2019;0.0005;992;j
KS;sdiinc992j;p99.996p99.997;2020;0.0005;992;j
KS;sptinc992j;p37p38;1980;0.0054;992;j
KS;sptinc992j;p37p38;1981;0.0054;992;j
KS;sptinc992j;p37p38;1982;0.0054;992;j
KS;sptinc992j;p37p38;1983;0.0054;992;j
KS;sptinc992j;p37p38;1984;0.0054;992;j
KS;sptinc992j;p37p38;1985;0.0054;992;j
KS;sptinc992j;p37p38;1986;0.0054;992;j
KS;sptinc992j;p37p38;1987;0.0054;992;j
KS;sptinc992j;p37p38;1988;0.0054;992;j
KS;sptinc992j;p37p38;1989;0.0054;992;j
KS;sptinc992j;p37p38;1990;0.0054;992;j
KS;sptinc992j;p37p38;1991;0.0054;992;j
KS;sptinc992j;p37p38;1992;0.0054;992;j
KS;sptinc992j;p37p38;1993;0.0054;992;j
KS;sptinc992j;p37p38;1994;0.0054;992;j
KS;sptinc992j;p37p38;1995;0.0054;992;j
KS;sptinc992j;p37p38;1996;0.0054;992;j
KS;sptinc992j;p37p38;1997;0.0054;992;j
KS;sptinc992j;p37p38;1998;0.0054;992;j
KS;sptinc992j;p37p38;1999;0.0054;992;j
KS;sptinc992j;p37p38;2000;0.0054;992;j
KS;sptinc992j;p37p38;2001;0.0054;992;j
KS;sptinc992j;p37p38;2002;0.0054;992;j
KS;sptinc992j;p37p38;2003;0.0054;992;j
KS;sptinc992j;p37p38;2004;0.0054;992;j
KS;sptinc992j;p37p38;2005;0.0054;992;j
KS;sptinc992j;p37p38;2006;0.0054;992;j
KS;sptinc992j;p37p38;2007;0.0055;992;j
KS;sptinc992j;p37p38;2008;0.0054;992;j
KS;sptinc992j;p37p38;2009;0.0054;992;j
KS;sptinc992j;p37p38;2010;0.0054;992;j
KS;sptinc992j;p37p38;2011;0.0057;992;j
KS;sptinc992j;p37p38;2012;0.0056;992;j
KS;sptinc992j;p37p38;2013;0.0058;992;j
KS;sptinc992j;p37p38;2014;0.0057;992;j
KS;sptinc992j;p37p38;2015;0.0057;992;j
KS;sptinc992j;p37p38;2016;0.0057;992;j
KS;sptinc992j;p37p38;2017;0.0056;992;j
KS;sptinc992j;p37p38;2018;0.0057;992;j
KS;sptinc992j;p37p38;2019;0.0057;992;j
KS;sptinc992j;p37p38;2020;0.0057;992;j
KS;sptinc992j;p37p38;2021;0.0057;992;j
KS;sptinc992j;p70p80;1980;0.1281;992;j
KS;sptinc992j;p70p80;1981;0.1281;992;j
KS;sptinc992j;p70p80;1982;0.1281;992;j
KS;sptinc992j;p70p80;1983;0.1281;992;j
KS;sptinc992j;p70p80;1984;0.1281;992;j
KS;sptinc992j;p70p80;1985;0.1281;992;j
KS;sptinc992j;p70p80;1986;0.1281;992;j
KS;sptinc992j;p70p80;1987;0.1281;992;j
KS;sptinc992j;p70p80;1988;0.1281;992;j
KS;sptinc992j;p70p80;1989;0.1281;992;j
KS;sptinc992j;p70p80;1990;0.1281;992;j
KS;sptinc992j;p70p80;1991;0.1281;992;j
KS;sptinc992j;p70p80;1992;0.1281;992;j
KS;sptinc992j;p70p80;1993;0.1281;992;j
KS;sptinc992j;p70p80;1994;0.1281;992;j
KS;sptinc992j;p70p80;1995;0.1281;992;j
KS;sptinc992j;p70p80;1996;0.1281;992;j
KS;sptinc992j;p70p80;1997;0.1281;992;j
KS;sptinc992j;p70p80;1998;0.1281;992;j
KS;sptinc992j;p70p80;1999;0.1281;992;j
KS;sptinc992j;p70p80;2000;0.1281;992;j
KS;sptinc992j;p70p80;2001;0.1281;992;j
KS;sptinc992j;p70p80;2002;0.1281;992;j
KS;sptinc992j;p70p80;2003;0.1281;992;j
KS;sptinc992j;p70p80;2004;0.1295;992;j
KS;sptinc992j;p70p80;2005;0.1294;992;j
KS;sptinc992j;p70p80;2006;0.1293;992;j
KS;sptinc992j;p70p80;2007;0.1296;992;j
KS;sptinc992j;p70p80;2008;0.1282;992;j
KS;sptinc992j;p70p80;2009;0.1289;992;j
KS;sptinc992j;p70p80;2010;0.1293;992;j
KS;sptinc992j;p70p80;2011;0.1286;992;j
KS;sptinc992j;p70p80;2012;0.1298;992;j
KS;sptinc992j;p70p80;2013;0.1291;992;j
KS;sptinc992j;p70p80;2014;0.128;992;j
KS;sptinc992j;p70p80;2015;0.1278;992;j
KS;sptinc992j;p70p80;2016;0.1275;992;j
KS;sptinc992j;p70p80;2017;0.1279;992;j
KS;sptinc992j;p70p80;2018;0.1281;992;j
KS;sptinc992j;p70p80;2019;0.1283;992;j
KS;sptinc992j;p70p80;2020;0.1285;992;j
KS;sptinc992j;p70p80;2021;0.1285;992;j
KS;tcainc992j;p25p26;2003;824.3;992;j
KS;tcainc992j;p25p26;2004;885.1;992;j
KS;tcainc992j;p25p26;2005;900.1;992;j
KS;tcainc992j;p25p26;2006;935.9;992;j
KS;tcainc992j;p25p26;2007;966.5;992;j
KS;tcainc992j;p25p26;2008;991.9;992;j
KS;tcainc992j;p25p26;2009;1004.6;992;j
KS;tcainc992j;p25p26;2010;1034.1;992;j
KS;tcainc992j;p25p26;2011;1151.9;992;j
KS;tcainc992j;p25p26;2012;1160.3;992;j
KS;tcainc992j;p25p26;2013;1203.6;992;j
KS;tcainc992j;p25p26;2014;1159.3;992;j
KS;tcainc992j;p25p26;2015;1235.8;992;j
KS;tcainc992j;p25p26;2016;1301.6;992;j
KS;tcainc992j;p25p26;2017;1359.1;992;j
KS;tcainc992j;p25p26;2018;1404.7;992;j
KS;tcainc992j;p25p26;2019;1467.7;992;j
KS;tcainc992j;p25p26;2020;1371.1;992;j
KS;tcainc992j;p52p100;2003;1694.2;992;j
KS;tcainc992j;p52p100;2004;1772.6;992;j
KS;tcainc992j;p52p100;2005;1807.6;992;j
KS;tcainc992j;p52p100;2006;1842.4;992;j
KS;tcainc992j;p52p100;2007;1965.8;992;j
KS;tcainc992j;p52p100;2008;2033.2;992;j
KS;tcainc992j;p52p100;2009;2002.2;992;j
KS;tcainc992j;p52p100;2010;2051.6;992;j
KS;tcainc992j;p52p100;2011;2263.3;992;j
KS;tcainc992j;p52p100;2012;2291.3;992;j
KS;tcainc992j;p52p100;2013;2423.6;992;j
KS;tcainc992j;p52p100;2014;2441.7;992;j
KS;tcainc992j;p52p100;2015;2551.2;992;j
KS;tcainc992j;p52p100;2016;2673.9;992;j
KS;tcainc992j;p52p100;2017;2809.9;992;j
KS;tcainc992j;p52p100;2018;2903.1;992;j
KS;tcainc992j;p52p100;2019;3039.0;992;j
KS;tcainc992j;p52p100;2020;2842.2;992;j
KS;tcainc992j;p79p80;2003;2845.4;992;j
KS;tcainc992j;p79p80;2004;3040.9;992;j
KS;tcainc992j;p79p80;2005;3129.5;992;j
KS;tcainc992j;p79p80;2006;3169.9;992;j
KS;tcainc992j;p79p80;2007;3392.5;992;j
KS;tcainc992j;p79p80;2008;3477.3;992;j
KS;tcainc992j;p79p80;2009;3439.5;992;j
KS;tcainc992j;p79p80;2010;3624.7;992;j
KS;tcainc992j;p79p80;2011;3805.1;992;j
KS;tcainc992j;p79p80;2012;3837.6;992;j
KS;tcainc992j;p79p80;2013;4011.9;992;j
KS;tcainc992j;p79p80;2014;4026.6;992;j
KS;tcainc992j;p79p80;2015;4227.1;992;j
KS;tcainc992j;p79p80;2016;4421.5;992;j
KS;tcainc992j;p79p80;2017;4710.4;992;j
KS;tcainc992j;p79p80;2018;4870.6;992;j
KS;tcainc992j;p79p80;2019;5098.6;992;j
KS;tcainc992j;p79p80;2020;4765.5;992;j
KS;tdiinc992j;p99.3p100;2003;12980.4;992;j
KS;tdiinc992j;p99.3p100;2004;13630.3;992;j
KS;tdiinc992j;p99.3p100;2005;13831.5;992;j
KS;tdiinc992j;p99.3p100;2006;14258.5;992;j
KS;tdiinc992j;p99.3p100;2007;15030.2;992;j
KS;tdiinc992j;p99.3p100;2008;15521.5;992;j
KS;tdiinc992j;p99.3p100;2009;15731.7;992;j
KS;tdiinc992j;p99.3p100;2010;16441.9;992;j
KS;tdiinc992j;p99.3p100;2011;16968.0;992;j
KS;tdiinc992j;p99.3p100;2012;17268.8;992;j
KS;tdiinc992j;p99.3p100;2013;17274.6;992;j
KS;tdiinc992j;p99.3p100;2014;19218.6;992;j
KS;tdiinc992j;p99.3p100;2015;19548.4;992;j
KS;tdiinc992j;p99.3p100;2016;20410.5;992;j
KS;tdiinc992j;p99.3p100;2017;22425.8;992;j
KS;tdiinc992j;p99.3p100;2018;23078.5;992;j
KS;tdiinc992j;p99.3p100;2019;24098.5;992;j
KS;tdiinc992j;p99.3p100;2020;22546.7;992;j
KS;tptinc992j;p0p99.3;1980;0.0;992;j
KS;tptinc992j;p0p99.3;1981;0.0;992;j
KS;tptinc992j;p0p99.3;1982;0.0;992;j
KS;tptinc992j;p0p99.3;1983;0.0;992;j
KS;tptinc992j;p0p99.3;1984;0.0;992;j
KS;tptinc992j;p0p99.3;1985;0.0;992;j
KS;tptinc992j;p0p99.3;1986;0.0;992;j
KS;tptinc992j;p0p99.3;1987;0.0;992;j
KS;tptinc992j;p0p99.3;1988;0.0;992;j
KS;tptinc992j;p0p99.3;1989;0.0;992;j
KS;tptinc992j;p0p99.3;1990;0.0;992;j
KS;tptinc992j;p0p99.3;1991;0.0;992;j
KS;tptinc992j;p0p99.3;1992;0.0;992;j
KS;tptinc992j;p0p99.3;1993;0.0;992;j
KS;tptinc992j;p0p99.3;1994;0.0;992;j
KS;tptinc992j;p0p99.3;1995;0.0;992;j
KS;tptinc992j;p0p99.3;1996;0.0;992;j
KS;tptinc992j;p0p99.3;1997;0.0;992;j
KS;tptinc992j;p0p99.3;1998;0.0;992;j
KS;tptinc992j;p0p99.3;1999;0.0;992;j
KS;tptinc992j;p0p99.3;2000;0.0;992;j
KS;tptinc992j;p0p99.3;2001;0.0;992;j
KS;tptinc992j;p0p99.3;2002;0.0;992;j
KS;tptinc992j;p0p99.3;2003;0.0;992;j
KS;tptinc992j;p0p99.3;2004;0.0;992;j
KS;tptinc992j;p0p99.3;2005;0.0;992;j
KS;tptinc992j;p0p99.3;2006;0.0;992;j
KS;tptinc992j;p0p99.3;2007;0.0;992;j
KS;tptinc992j;p0p99.3;2008;0.0;992;j
KS;tptinc992j;p0p99.3;2009;0.0;992;j
KS;tptinc992j;p0p99.3;2010;0.0;992;j
KS;tptinc992j;p0p99.3;2011;0.0;992;j
KS;tptinc992j;p0p99.3;2012;0.0;992;j
KS;tptinc992j;p0p99.3;2013;0.0;992;j
KS;tptinc992j;p0p99.3;2014;0.0;992;j
KS;tptinc992j;p0p99.3;2015;0.0;992;j
KS;tptinc992j;p0p99.3;2016;0.0;992;j
KS;tptinc992j;p0p99.3;2017;0.0;992;j
KS;tptinc992j;p0p99.3;2018;0.0;992;j
KS;tptinc992j;p0p99.3;2019;0.0;992;j
KS;tptinc992j;p0p99.3;2020;0.0;992;j
KS;tptinc992j;p0p99.3;2021;0.0;992;j
KS;tptinc992j;p40p41;1980;2569.0;992;j
KS;tptinc992j;p40p41;1981;2568.4;992;j
KS;tptinc992j;p40p41;1982;2567.6;992;j
KS;tptinc992j;p40p41;1983;2566.5;992;j
KS;tptinc992j;p40p41;1984;2564.9;992;j
KS;tptinc992j;p40p41;1985;2563.1;992;j
KS;tptinc992j;p40p41;1986;2561.8;992;j
KS;tptinc992j;p40p41;1987;2562.5;992;j
KS;tptinc992j;p40p41;1988;2568.1;992;j
KS;tptinc992j;p40p41;1989;2582.0;992;j
KS;tptinc992j;p40p41;1990;2606.1;992;j
KS;tptinc992j;p40p41;1991;2297.1;992;j
KS;tptinc992j;p40p41;1992;1673.0;992;j
KS;tptinc992j;p40p41;1993;1223.6;992;j
KS;tptinc992j;p40p41;1994;1221.6;992;j
KS;tptinc992j;p40p41;1995;1325.6;992;j
KS;tptinc992j;p40p41;1996;1444.8;992;j
KS;tptinc992j;p40p41;1997;1564.8;992;j
KS;tptinc992j;p40p41;1998;1428.5;992;j
KS;tptinc992j;p40p41;1999;1103.5;992;j
KS;tptinc992j;p40p41;2000;1206.5;992;j
KS;tptinc992j;p40p41;2001;1589.3;992;j
KS;tptinc992j;p40p41;2002;1650.8;992;j
KS;tptinc992j;p40p41;2003;1559.9;992;j
KS;tptinc992j;p40p41;2004;1639.5;992;j
KS;tptinc992j;p40p41;2005;1659.6;992;j
KS;tptinc992j;p40p41;2006;1723.2;992;j
KS;tptinc992j;p40p41;2007;1836.0;992;j
KS;tptinc992j;p40p41;2008;1870.2;992;j
KS;tptinc992j;p40p41;2009;1928.4;992;j
KS;tptinc992j;p40p41;2010;1935.1;992;j
KS;tptinc992j;p40p41;2011;2181.7;992;j
KS;tptinc992j;p40p41;2012;2198.7;992;j
KS;tptinc992j;p40p41;2013;2324.7;992;j
KS;tptinc992j;p40p41;2014;2318.4;992;j
KS;tptinc992j;p40p41;2015;2410.6;992;j
KS;tptinc992j;p40p41;2016;2504.6;992;j
KS;tptinc992j;p40p41;2017;2641.3;992;j
KS;tptinc992j;p40p41;2018;2725.1;992;j
KS;tptinc992j;p40p41;2019;2865.2;992;j
KS;tptinc992j;p40p41;2020;2699.2;992;j
