country;variable;percentile;year;value;age;pop
XN;ahweal992j;p37p100;1995;23482.4;992;j
XN;ahweal992j;p37p100;1996;24139.5;992;j
XN;ahweal992j;p37p100;1997;25235.1;992;j
XN;ahweal992j;p37p100;1998;26745.2;992;j
XN;ahweal992j;p37p100;1999;26308.9;992;j
XN;ahweal992j;p37p100;2000;27010.2;992;j
XN;ahweal992j;p37p100;2001;27007.1;992;j
XN;ahweal992j;p37p100;2002;27333.6;992;j
XN;ahweal992j;p37p100;2003;28931.6;992;j
XN;ahweal992j;p37p100;2004;31042.9;992;j
XN;ahweal992j;p37p100;2005;32338.5;992;j
XN;ahweal992j;p37p100;2006;34604.9;992;j
XN;ahweal992j;p37p100;2007;36391.1;992;j
XN;ahweal992j;p37p100;2008;36371.4;992;j
XN;ahweal992j;p37p100;2009;36361.8;992;j
XN;ahweal992j;p37p100;2010;37124.7;992;j
XN;ahweal992j;p37p100;2011;37803.4;992;j
XN;ahweal992j;p37p100;2012;38126.8;992;j
XN;ahweal992j;p37p100;2013;39169.3;992;j
XN;ahweal992j;p37p100;2014;40471.6;992;j
XN;ahweal992j;p37p100;2015;42735.9;992;j
XN;ahweal992j;p37p100;2016;44183.3;992;j
XN;ahweal992j;p37p100;2017;44917.3;992;j
XN;ahweal992j;p37p100;2018;45649.6;992;j
XN;ahweal992j;p37p100;2019;46664.0;992;j
XN;ahweal992j;p37p100;2020;46465.2;992;j
XN;ahweal992j;p37p100;2021;49973.0;992;j
XN;ahweal992j;p8p100;1995;16195.1;992;j
XN;ahweal992j;p8p100;1996;16653.0;992;j
XN;ahweal992j;p8p100;1997;17409.1;992;j
XN;ahweal992j;p8p100;1998;18455.3;992;j
XN;ahweal992j;p8p100;1999;18160.9;992;j
XN;ahweal992j;p8p100;2000;18648.5;992;j
XN;ahweal992j;p8p100;2001;18652.8;992;j
XN;ahweal992j;p8p100;2002;18888.5;992;j
XN;ahweal992j;p8p100;2003;19991.7;992;j
XN;ahweal992j;p8p100;2004;21465.1;992;j
XN;ahweal992j;p8p100;2005;22376.4;992;j
XN;ahweal992j;p8p100;2006;23945.6;992;j
XN;ahweal992j;p8p100;2007;25182.0;992;j
XN;ahweal992j;p8p100;2008;25178.8;992;j
XN;ahweal992j;p8p100;2009;25177.8;992;j
XN;ahweal992j;p8p100;2010;25713.0;992;j
XN;ahweal992j;p8p100;2011;26176.9;992;j
XN;ahweal992j;p8p100;2012;26398.6;992;j
XN;ahweal992j;p8p100;2013;27122.9;992;j
XN;ahweal992j;p8p100;2014;28023.2;992;j
XN;ahweal992j;p8p100;2015;29580.5;992;j
XN;ahweal992j;p8p100;2016;30591.8;992;j
XN;ahweal992j;p8p100;2017;31099.3;992;j
XN;ahweal992j;p8p100;2018;31608.4;992;j
XN;ahweal992j;p8p100;2019;32317.9;992;j
XN;ahweal992j;p8p100;2020;32184.4;992;j
XN;ahweal992j;p8p100;2021;34607.1;992;j
XN;bhweal992j;p65p100;1995;11.6220855712891;992;j
XN;bhweal992j;p65p100;1996;11.1864633560181;992;j
XN;bhweal992j;p65p100;1997;11.1960763931274;992;j
XN;bhweal992j;p65p100;1998;11.072304725647;992;j
XN;bhweal992j;p65p100;1999;10.6672458648682;992;j
XN;bhweal992j;p65p100;2000;10.5345783233643;992;j
XN;bhweal992j;p65p100;2001;10.1118087768555;992;j
XN;bhweal992j;p65p100;2002;9.5157356262207;992;j
XN;bhweal992j;p65p100;2003;9.37346649169922;992;j
XN;bhweal992j;p65p100;2004;8.96437072753906;992;j
XN;bhweal992j;p65p100;2005;8.33739566802979;992;j
XN;bhweal992j;p65p100;2006;8.28884601593018;992;j
XN;bhweal992j;p65p100;2007;8.14073276519775;992;j
XN;bhweal992j;p65p100;2008;7.94404220581055;992;j
XN;bhweal992j;p65p100;2009;7.82001256942749;992;j
XN;bhweal992j;p65p100;2010;7.6405177116394;992;j
XN;bhweal992j;p65p100;2011;7.7186279296875;992;j
XN;bhweal992j;p65p100;2012;7.79356718063354;992;j
XN;bhweal992j;p65p100;2013;7.70324420928955;992;j
XN;bhweal992j;p65p100;2014;7.66981410980225;992;j
XN;bhweal992j;p65p100;2015;7.71532440185547;992;j
XN;bhweal992j;p65p100;2016;7.39142942428589;992;j
XN;bhweal992j;p65p100;2017;7.33269214630127;992;j
XN;bhweal992j;p65p100;2018;7.28266048431396;992;j
XN;bhweal992j;p65p100;2019;7.14978456497192;992;j
XN;bhweal992j;p65p100;2020;7.00540399551392;992;j
XN;bhweal992j;p65p100;2021;7.15791273117065;992;j
XN;bptinc992j;p99.3p100;1980;2.50927805900574;992;j
XN;bptinc992j;p99.3p100;1981;2.54592871665955;992;j
XN;bptinc992j;p99.3p100;1982;2.33494830131531;992;j
XN;bptinc992j;p99.3p100;1983;2.31024646759033;992;j
XN;bptinc992j;p99.3p100;1984;2.31929850578308;992;j
XN;bptinc992j;p99.3p100;1985;2.28254771232605;992;j
XN;bptinc992j;p99.3p100;1986;2.2835705280304;992;j
XN;bptinc992j;p99.3p100;1987;2.2810640335083;992;j
XN;bptinc992j;p99.3p100;1988;2.31369137763977;992;j
XN;bptinc992j;p99.3p100;1989;2.23834371566773;992;j
XN;bptinc992j;p99.3p100;1990;2.24163317680359;992;j
XN;bptinc992j;p99.3p100;1991;2.24143481254578;992;j
XN;bptinc992j;p99.3p100;1992;2.24879312515259;992;j
XN;bptinc992j;p99.3p100;1993;2.17074370384216;992;j
XN;bptinc992j;p99.3p100;1994;2.20066046714783;992;j
XN;bptinc992j;p99.3p100;1995;2.22655963897705;992;j
XN;bptinc992j;p99.3p100;1996;2.17685866355896;992;j
XN;bptinc992j;p99.3p100;1997;2.18181896209717;992;j
XN;bptinc992j;p99.3p100;1998;2.15660095214844;992;j
XN;bptinc992j;p99.3p100;1999;2.10548138618469;992;j
XN;bptinc992j;p99.3p100;2000;2.11644864082336;992;j
XN;bptinc992j;p99.3p100;2001;2.14010143280029;992;j
XN;bptinc992j;p99.3p100;2002;2.11780500411987;992;j
XN;bptinc992j;p99.3p100;2003;2.10636138916016;992;j
XN;bptinc992j;p99.3p100;2004;2.1433470249176;992;j
XN;bptinc992j;p99.3p100;2005;2.0882773399353;992;j
XN;bptinc992j;p99.3p100;2006;2.09109592437744;992;j
XN;bptinc992j;p99.3p100;2007;2.07434868812561;992;j
XN;bptinc992j;p99.3p100;2008;2.0343701839447;992;j
XN;bptinc992j;p99.3p100;2009;2.0027003288269;992;j
XN;bptinc992j;p99.3p100;2010;2.04313111305237;992;j
XN;bptinc992j;p99.3p100;2011;2.03290390968323;992;j
XN;bptinc992j;p99.3p100;2012;2.11397576332092;992;j
XN;bptinc992j;p99.3p100;2013;2.14310812950134;992;j
XN;bptinc992j;p99.3p100;2014;2.17671632766724;992;j
XN;bptinc992j;p99.3p100;2015;2.17363405227661;992;j
XN;bptinc992j;p99.3p100;2016;2.23542499542236;992;j
XN;bptinc992j;p99.3p100;2017;2.17099499702454;992;j
XN;bptinc992j;p99.3p100;2018;2.14733982086182;992;j
XN;bptinc992j;p99.3p100;2019;2.12177634239197;992;j
XN;bptinc992j;p99.3p100;2020;2.13021016120911;992;j
XN;bptinc992j;p99.3p100;2021;2.14532947540283;992;j
XN;npopul993m;p0p100;1950;14997208.0;993;m
XN;npopul993m;p0p100;1951;15299353.0;993;m
XN;npopul993m;p0p100;1952;15631985.0;993;m
XN;npopul993m;p0p100;1953;15999651.0;993;m
XN;npopul993m;p0p100;1954;16401113.0;993;m
XN;npopul993m;p0p100;1955;16829363.0;993;m
XN;npopul993m;p0p100;1956;17204715.0;993;m
XN;npopul993m;p0p100;1957;17624615.0;993;m
XN;npopul993m;p0p100;1958;18059610.0;993;m
XN;npopul993m;p0p100;1959;18477618.0;993;m
XN;npopul993m;p0p100;1960;18863574.0;993;m
XN;npopul993m;p0p100;1961;19187097.0;993;m
XN;npopul993m;p0p100;1962;19475272.0;993;m
XN;npopul993m;p0p100;1963;19750605.0;993;m
XN;npopul993m;p0p100;1964;20048467.0;993;m
XN;npopul993m;p0p100;1965;20388605.0;993;m
XN;npopul993m;p0p100;1966;20708291.0;993;m
XN;npopul993m;p0p100;1967;21080809.0;993;m
XN;npopul993m;p0p100;1968;21507188.0;993;m
XN;npopul993m;p0p100;1969;21989581.0;993;m
XN;npopul993m;p0p100;1970;22533714.0;993;m
XN;npopul993m;p0p100;1971;23100550.0;993;m
XN;npopul993m;p0p100;1972;23732880.0;993;m
XN;npopul993m;p0p100;1973;24422704.0;993;m
XN;npopul993m;p0p100;1974;25161610.0;993;m
XN;npopul993m;p0p100;1975;25947226.0;993;m
XN;npopul993m;p0p100;1976;26877978.0;993;m
XN;npopul993m;p0p100;1977;27865659.0;993;m
XN;npopul993m;p0p100;1978;28911337.0;993;m
XN;npopul993m;p0p100;1979;30024924.0;993;m
XN;npopul993m;p0p100;1980;31211330.0;993;m
XN;npopul993m;p0p100;1981;32464197.0;993;m
XN;npopul993m;p0p100;1982;33784788.0;993;m
XN;npopul993m;p0p100;1983;35150230.0;993;m
XN;npopul993m;p0p100;1984;36542789.0;993;m
XN;npopul993m;p0p100;1985;37955179.0;993;m
XN;npopul993m;p0p100;1986;39371208.0;993;m
XN;npopul993m;p0p100;1987;40858290.0;993;m
XN;npopul993m;p0p100;1988;42379435.0;993;m
XN;npopul993m;p0p100;1989;43888857.0;993;m
XN;npopul993m;p0p100;1990;45359829.0;993;m
XN;npopul993m;p0p100;1991;46817013.0;993;m
XN;npopul993m;p0p100;1992;48213524.0;993;m
XN;npopul993m;p0p100;1993;49564146.0;993;m
XN;npopul993m;p0p100;1994;50904768.0;993;m
XN;npopul993m;p0p100;1995;52264620.0;993;m
XN;npopul993m;p0p100;1996;53751956.0;993;m
XN;npopul993m;p0p100;1997;55298659.0;993;m
XN;npopul993m;p0p100;1998;56915070.0;993;m
XN;npopul993m;p0p100;1999;58622442.0;993;m
XN;npopul993m;p0p100;2000;60433836.0;993;m
XN;npopul993m;p0p100;2001;62399596.0;993;m
XN;npopul993m;p0p100;2002;64449181.0;993;m
XN;npopul993m;p0p100;2003;66569616.0;993;m
XN;npopul993m;p0p100;2004;68752440.0;993;m
XN;npopul993m;p0p100;2005;70988394.0;993;m
XN;npopul993m;p0p100;2006;73434360.0;993;m
XN;npopul993m;p0p100;2007;75958032.0;993;m
XN;npopul993m;p0p100;2008;78462850.0;993;m
XN;npopul993m;p0p100;2009;80819279.0;993;m
XN;npopul993m;p0p100;2010;82922140.0;993;m
XN;npopul993m;p0p100;2011;84843198.0;993;m
XN;npopul993m;p0p100;2012;86539428.0;993;m
XN;npopul993m;p0p100;2013;88012040.0;993;m
XN;npopul993m;p0p100;2014;89293437.0;993;m
XN;npopul993m;p0p100;2015;90408414.0;993;m
XN;npopul993m;p0p100;2016;91339046.0;993;m
XN;npopul993m;p0p100;2017;92228059.0;993;m
XN;npopul993m;p0p100;2018;93020575.0;993;m
XN;npopul993m;p0p100;2019;93668493.0;993;m
XN;npopul993m;p0p100;2020;94159056.0;993;m
XN;npopul993m;p0p100;2021;94342924.0;993;m
XN;shweal992j;p99.7p99.8;1995;0.0401;992;j
XN;shweal992j;p99.7p99.8;1996;0.0392;992;j
XN;shweal992j;p99.7p99.8;1997;0.0388;992;j
XN;shweal992j;p99.7p99.8;1998;0.0371;992;j
XN;shweal992j;p99.7p99.8;1999;0.04;992;j
XN;shweal992j;p99.7p99.8;2000;0.0377;992;j
XN;shweal992j;p99.7p99.8;2001;0.0366;992;j
XN;shweal992j;p99.7p99.8;2002;0.0368;992;j
XN;shweal992j;p99.7p99.8;2003;0.0366;992;j
XN;shweal992j;p99.7p99.8;2004;0.0357;992;j
XN;shweal992j;p99.7p99.8;2005;0.0346;992;j
XN;shweal992j;p99.7p99.8;2006;0.0355;992;j
XN;shweal992j;p99.7p99.8;2007;0.0337;992;j
XN;shweal992j;p99.7p99.8;2008;0.033;992;j
XN;shweal992j;p99.7p99.8;2009;0.0321;992;j
XN;shweal992j;p99.7p99.8;2010;0.0307;992;j
XN;shweal992j;p99.7p99.8;2011;0.0308;992;j
XN;shweal992j;p99.7p99.8;2012;0.0315;992;j
XN;shweal992j;p99.7p99.8;2013;0.0313;992;j
XN;shweal992j;p99.7p99.8;2014;0.0316;992;j
XN;shweal992j;p99.7p99.8;2015;0.031;992;j
XN;shweal992j;p99.7p99.8;2016;0.0307;992;j
XN;shweal992j;p99.7p99.8;2017;0.0306;992;j
XN;shweal992j;p99.7p99.8;2018;0.0307;992;j
XN;shweal992j;p99.7p99.8;2019;0.0311;992;j
XN;shweal992j;p99.7p99.8;2020;0.0311;992;j
XN;shweal992j;p99.7p99.8;2021;0.031;992;j
XN;sptinc992j;p43p44;1980;0.0022;992;j
XN;sptinc992j;p43p44;1981;0.0022;992;j
XN;sptinc992j;p43p44;1982;0.0025;992;j
XN;sptinc992j;p43p44;1983;0.0027;992;j
XN;sptinc992j;p43p44;1984;0.0028;992;j
XN;sptinc992j;p43p44;1985;0.0029;992;j
XN;sptinc992j;p43p44;1986;0.0028;992;j
XN;sptinc992j;p43p44;1987;0.0029;992;j
XN;sptinc992j;p43p44;1988;0.0029;992;j
XN;sptinc992j;p43p44;1989;0.0029;992;j
XN;sptinc992j;p43p44;1990;0.003;992;j
XN;sptinc992j;p43p44;1991;0.0029;992;j
XN;sptinc992j;p43p44;1992;0.0029;992;j
XN;sptinc992j;p43p44;1993;0.003;992;j
XN;sptinc992j;p43p44;1994;0.003;992;j
XN;sptinc992j;p43p44;1995;0.003;992;j
XN;sptinc992j;p43p44;1996;0.003;992;j
XN;sptinc992j;p43p44;1997;0.003;992;j
XN;sptinc992j;p43p44;1998;0.0031;992;j
XN;sptinc992j;p43p44;1999;0.0031;992;j
XN;sptinc992j;p43p44;2000;0.0031;992;j
XN;sptinc992j;p43p44;2001;0.0031;992;j
XN;sptinc992j;p43p44;2002;0.0032;992;j
XN;sptinc992j;p43p44;2003;0.0032;992;j
XN;sptinc992j;p43p44;2004;0.0032;992;j
XN;sptinc992j;p43p44;2005;0.0032;992;j
XN;sptinc992j;p43p44;2006;0.0032;992;j
XN;sptinc992j;p43p44;2007;0.0033;992;j
XN;sptinc992j;p43p44;2008;0.0034;992;j
XN;sptinc992j;p43p44;2009;0.0035;992;j
XN;sptinc992j;p43p44;2010;0.0036;992;j
XN;sptinc992j;p43p44;2011;0.0035;992;j
XN;sptinc992j;p43p44;2012;0.0035;992;j
XN;sptinc992j;p43p44;2013;0.0034;992;j
XN;sptinc992j;p43p44;2014;0.0034;992;j
XN;sptinc992j;p43p44;2015;0.0034;992;j
XN;sptinc992j;p43p44;2016;0.0034;992;j
XN;sptinc992j;p43p44;2017;0.0034;992;j
XN;sptinc992j;p43p44;2018;0.0033;992;j
XN;sptinc992j;p43p44;2019;0.0033;992;j
XN;sptinc992j;p43p44;2020;0.0033;992;j
XN;sptinc992j;p43p44;2021;0.0033;992;j
XN;sptinc992j;p98p99;1980;0.0971;992;j
XN;sptinc992j;p98p99;1981;0.0959;992;j
XN;sptinc992j;p98p99;1982;0.0928;992;j
XN;sptinc992j;p98p99;1983;0.0912;992;j
XN;sptinc992j;p98p99;1984;0.089;992;j
XN;sptinc992j;p98p99;1985;0.0895;992;j
XN;sptinc992j;p98p99;1986;0.089;992;j
XN;sptinc992j;p98p99;1987;0.0866;992;j
XN;sptinc992j;p98p99;1988;0.0899;992;j
XN;sptinc992j;p98p99;1989;0.09;992;j
XN;sptinc992j;p98p99;1990;0.0904;992;j
XN;sptinc992j;p98p99;1991;0.0911;992;j
XN;sptinc992j;p98p99;1992;0.0905;992;j
XN;sptinc992j;p98p99;1993;0.0877;992;j
XN;sptinc992j;p98p99;1994;0.0896;992;j
XN;sptinc992j;p98p99;1995;0.0882;992;j
XN;sptinc992j;p98p99;1996;0.0874;992;j
XN;sptinc992j;p98p99;1997;0.0875;992;j
XN;sptinc992j;p98p99;1998;0.0875;992;j
XN;sptinc992j;p98p99;1999;0.0908;992;j
XN;sptinc992j;p98p99;2000;0.0875;992;j
XN;sptinc992j;p98p99;2001;0.0892;992;j
XN;sptinc992j;p98p99;2002;0.0865;992;j
XN;sptinc992j;p98p99;2003;0.0873;992;j
XN;sptinc992j;p98p99;2004;0.0883;992;j
XN;sptinc992j;p98p99;2005;0.0859;992;j
XN;sptinc992j;p98p99;2006;0.0859;992;j
XN;sptinc992j;p98p99;2007;0.0861;992;j
XN;sptinc992j;p98p99;2008;0.0862;992;j
XN;sptinc992j;p98p99;2009;0.0884;992;j
XN;sptinc992j;p98p99;2010;0.0872;992;j
XN;sptinc992j;p98p99;2011;0.0842;992;j
XN;sptinc992j;p98p99;2012;0.0825;992;j
XN;sptinc992j;p98p99;2013;0.0826;992;j
XN;sptinc992j;p98p99;2014;0.0824;992;j
XN;sptinc992j;p98p99;2015;0.0835;992;j
XN;sptinc992j;p98p99;2016;0.0823;992;j
XN;sptinc992j;p98p99;2017;0.0866;992;j
XN;sptinc992j;p98p99;2018;0.0858;992;j
XN;sptinc992j;p98p99;2019;0.0853;992;j
XN;sptinc992j;p98p99;2020;0.0861;992;j
XN;sptinc992j;p98p99;2021;0.0863;992;j
XN;thweal992j;p25p100;1995;389.8;992;j
XN;thweal992j;p25p100;1996;416.9;992;j
XN;thweal992j;p25p100;1997;437.2;992;j
XN;thweal992j;p25p100;1998;475.8;992;j
XN;thweal992j;p25p100;1999;488.1;992;j
XN;thweal992j;p25p100;2000;515.1;992;j
XN;thweal992j;p25p100;2001;534.0;992;j
XN;thweal992j;p25p100;2002;574.6;992;j
XN;thweal992j;p25p100;2003;610.8;992;j
XN;thweal992j;p25p100;2004;701.8;992;j
XN;thweal992j;p25p100;2005;786.1;992;j
XN;thweal992j;p25p100;2006;846.7;992;j
XN;thweal992j;p25p100;2007;890.7;992;j
XN;thweal992j;p25p100;2008;925.1;992;j
XN;thweal992j;p25p100;2009;942.7;992;j
XN;thweal992j;p25p100;2010;990.7;992;j
XN;thweal992j;p25p100;2011;991.0;992;j
XN;thweal992j;p25p100;2012;985.1;992;j
XN;thweal992j;p25p100;2013;1017.8;992;j
XN;thweal992j;p25p100;2014;1048.4;992;j
XN;thweal992j;p25p100;2015;1069.6;992;j
XN;thweal992j;p25p100;2016;1130.9;992;j
XN;thweal992j;p25p100;2017;1149.1;992;j
XN;thweal992j;p25p100;2018;1173.9;992;j
XN;thweal992j;p25p100;2019;1219.6;992;j
XN;thweal992j;p25p100;2020;1234.5;992;j
XN;thweal992j;p25p100;2021;1308.9;992;j
XN;aptinc992j;p37p100;1980;28736.0;992;j
XN;aptinc992j;p37p100;1981;28027.0;992;j
XN;aptinc992j;p37p100;1982;26163.1;992;j
XN;aptinc992j;p37p100;1983;25123.2;992;j
XN;aptinc992j;p37p100;1984;24438.6;992;j
XN;aptinc992j;p37p100;1985;23638.7;992;j
XN;aptinc992j;p37p100;1986;24065.9;992;j
XN;aptinc992j;p37p100;1987;23357.2;992;j
XN;aptinc992j;p37p100;1988;23477.8;992;j
XN;aptinc992j;p37p100;1989;23357.1;992;j
XN;aptinc992j;p37p100;1990;24787.8;992;j
XN;aptinc992j;p37p100;1991;24792.1;992;j
XN;aptinc992j;p37p100;1992;25314.1;992;j
XN;aptinc992j;p37p100;1993;25310.5;992;j
XN;aptinc992j;p37p100;1994;24787.9;992;j
XN;aptinc992j;p37p100;1995;25023.2;992;j
XN;aptinc992j;p37p100;1996;25297.4;992;j
XN;aptinc992j;p37p100;1997;25718.6;992;j
XN;aptinc992j;p37p100;1998;25812.5;992;j
XN;aptinc992j;p37p100;1999;25176.4;992;j
XN;aptinc992j;p37p100;2000;25925.2;992;j
XN;aptinc992j;p37p100;2001;24893.2;992;j
XN;aptinc992j;p37p100;2002;24696.0;992;j
XN;aptinc992j;p37p100;2003;25259.2;992;j
XN;aptinc992j;p37p100;2004;26608.7;992;j
XN;aptinc992j;p37p100;2005;27330.7;992;j
XN;aptinc992j;p37p100;2006;28112.7;992;j
XN;aptinc992j;p37p100;2007;28668.4;992;j
XN;aptinc992j;p37p100;2008;28757.1;992;j
XN;aptinc992j;p37p100;2009;27253.2;992;j
XN;aptinc992j;p37p100;2010;27980.4;992;j
XN;aptinc992j;p37p100;2011;28761.5;992;j
XN;aptinc992j;p37p100;2012;28921.8;992;j
XN;aptinc992j;p37p100;2013;29146.1;992;j
XN;aptinc992j;p37p100;2014;29346.9;992;j
XN;aptinc992j;p37p100;2015;29544.6;992;j
XN;aptinc992j;p37p100;2016;30554.1;992;j
XN;aptinc992j;p37p100;2017;30842.2;992;j
XN;aptinc992j;p37p100;2018;30378.5;992;j
XN;aptinc992j;p37p100;2019;29770.6;992;j
XN;aptinc992j;p37p100;2020;28523.3;992;j
XN;aptinc992j;p37p100;2021;29375.3;992;j
XN;aptinc992j;p8p100;1980;20369.6;992;j
XN;aptinc992j;p8p100;1981;19877.1;992;j
XN;aptinc992j;p8p100;1982;18630.3;992;j
XN;aptinc992j;p8p100;1983;17923.6;992;j
XN;aptinc992j;p8p100;1984;17462.8;992;j
XN;aptinc992j;p8p100;1985;16924.6;992;j
XN;aptinc992j;p8p100;1986;17219.9;992;j
XN;aptinc992j;p8p100;1987;16737.1;992;j
XN;aptinc992j;p8p100;1988;16823.4;992;j
XN;aptinc992j;p8p100;1989;16741.7;992;j
XN;aptinc992j;p8p100;1990;17788.5;992;j
XN;aptinc992j;p8p100;1991;17735.5;992;j
XN;aptinc992j;p8p100;1992;18120.7;992;j
XN;aptinc992j;p8p100;1993;18142.9;992;j
XN;aptinc992j;p8p100;1994;17786.0;992;j
XN;aptinc992j;p8p100;1995;17941.8;992;j
XN;aptinc992j;p8p100;1996;18145.6;992;j
XN;aptinc992j;p8p100;1997;18437.1;992;j
XN;aptinc992j;p8p100;1998;18526.0;992;j
XN;aptinc992j;p8p100;1999;18077.4;992;j
XN;aptinc992j;p8p100;2000;18614.5;992;j
XN;aptinc992j;p8p100;2001;17893.8;992;j
XN;aptinc992j;p8p100;2002;17761.2;992;j
XN;aptinc992j;p8p100;2003;18134.6;992;j
XN;aptinc992j;p8p100;2004;19107.9;992;j
XN;aptinc992j;p8p100;2005;19618.9;992;j
XN;aptinc992j;p8p100;2006;20177.8;992;j
XN;aptinc992j;p8p100;2007;20597.0;992;j
XN;aptinc992j;p8p100;2008;20684.5;992;j
XN;aptinc992j;p8p100;2009;19659.3;992;j
XN;aptinc992j;p8p100;2010;20198.5;992;j
XN;aptinc992j;p8p100;2011;20740.2;992;j
XN;aptinc992j;p8p100;2012;20825.8;992;j
XN;aptinc992j;p8p100;2013;20978.9;992;j
XN;aptinc992j;p8p100;2014;21106.4;992;j
XN;aptinc992j;p8p100;2015;21235.9;992;j
XN;aptinc992j;p8p100;2016;21967.2;992;j
XN;aptinc992j;p8p100;2017;22153.4;992;j
XN;aptinc992j;p8p100;2018;21811.4;992;j
XN;aptinc992j;p8p100;2019;21363.4;992;j
XN;aptinc992j;p8p100;2020;20469.1;992;j
XN;aptinc992j;p8p100;2021;21060.7;992;j
XN;aptinc992j;p9p10;1980;660.4;992;j
XN;aptinc992j;p9p10;1981;658.5;992;j
XN;aptinc992j;p9p10;1982;675.0;992;j
XN;aptinc992j;p9p10;1983;697.1;992;j
XN;aptinc992j;p9p10;1984;692.6;992;j
XN;aptinc992j;p9p10;1985;690.1;992;j
XN;aptinc992j;p9p10;1986;694.6;992;j
XN;aptinc992j;p9p10;1987;693.3;992;j
XN;aptinc992j;p9p10;1988;697.7;992;j
XN;aptinc992j;p9p10;1989;705.4;992;j
XN;aptinc992j;p9p10;1990;770.1;992;j
XN;aptinc992j;p9p10;1991;714.8;992;j
XN;aptinc992j;p9p10;1992;732.7;992;j
XN;aptinc992j;p9p10;1993;741.6;992;j
XN;aptinc992j;p9p10;1994;745.3;992;j
XN;aptinc992j;p9p10;1995;729.1;992;j
XN;aptinc992j;p9p10;1996;747.6;992;j
XN;aptinc992j;p9p10;1997;748.6;992;j
XN;aptinc992j;p9p10;1998;765.6;992;j
XN;aptinc992j;p9p10;1999;755.6;992;j
XN;aptinc992j;p9p10;2000;779.6;992;j
XN;aptinc992j;p9p10;2001;770.0;992;j
XN;aptinc992j;p9p10;2002;770.6;992;j
XN;aptinc992j;p9p10;2003;752.4;992;j
XN;aptinc992j;p9p10;2004;792.2;992;j
XN;aptinc992j;p9p10;2005;819.2;992;j
XN;aptinc992j;p9p10;2006;822.1;992;j
XN;aptinc992j;p9p10;2007;853.9;992;j
XN;aptinc992j;p9p10;2008;872.8;992;j
XN;aptinc992j;p9p10;2009;872.7;992;j
XN;aptinc992j;p9p10;2010;895.2;992;j
XN;aptinc992j;p9p10;2011;855.7;992;j
XN;aptinc992j;p9p10;2012;831.6;992;j
XN;aptinc992j;p9p10;2013;842.6;992;j
XN;aptinc992j;p9p10;2014;830.1;992;j
XN;aptinc992j;p9p10;2015;741.6;992;j
XN;aptinc992j;p9p10;2016;722.4;992;j
XN;aptinc992j;p9p10;2017;683.6;992;j
XN;aptinc992j;p9p10;2018;658.4;992;j
XN;aptinc992j;p9p10;2019;639.2;992;j
XN;aptinc992j;p9p10;2020;617.0;992;j
XN;aptinc992j;p9p10;2021;615.8;992;j
XN;bhweal992j;p81p100;1995;8.55445861816406;992;j
XN;bhweal992j;p81p100;1996;8.20101833343506;992;j
XN;bhweal992j;p81p100;1997;8.21471309661865;992;j
XN;bhweal992j;p81p100;1998;8.16566371917725;992;j
XN;bhweal992j;p81p100;1999;7.92211866378784;992;j
XN;bhweal992j;p81p100;2000;7.83871984481812;992;j
XN;bhweal992j;p81p100;2001;7.51565742492676;992;j
XN;bhweal992j;p81p100;2002;7.08388566970825;992;j
XN;bhweal992j;p81p100;2003;6.97107887268066;992;j
XN;bhweal992j;p81p100;2004;6.77672958374023;992;j
XN;bhweal992j;p81p100;2005;6.36938858032227;992;j
XN;bhweal992j;p81p100;2006;6.36924934387207;992;j
XN;bhweal992j;p81p100;2007;6.23955678939819;992;j
XN;bhweal992j;p81p100;2008;6.09228467941284;992;j
XN;bhweal992j;p81p100;2009;5.9783763885498;992;j
XN;bhweal992j;p81p100;2010;5.85639047622681;992;j
XN;bhweal992j;p81p100;2011;5.89110088348389;992;j
XN;bhweal992j;p81p100;2012;5.98518133163452;992;j
XN;bhweal992j;p81p100;2013;5.93223524093628;992;j
XN;bhweal992j;p81p100;2014;5.86449813842773;992;j
XN;bhweal992j;p81p100;2015;5.87304449081421;992;j
XN;bhweal992j;p81p100;2016;5.6170768737793;992;j
XN;bhweal992j;p81p100;2017;5.56355810165405;992;j
XN;bhweal992j;p81p100;2018;5.52710819244385;992;j
XN;bhweal992j;p81p100;2019;5.45697784423828;992;j
XN;bhweal992j;p81p100;2020;5.31832504272461;992;j
XN;bhweal992j;p81p100;2021;5.44937562942505;992;j
XN;shweal992j;p40p100;1995;1.0074;992;j
XN;shweal992j;p40p100;1996;1.0063;992;j
XN;shweal992j;p40p100;1997;1.0065;992;j
XN;shweal992j;p40p100;1998;1.0052;992;j
XN;shweal992j;p40p100;1999;1.0064;992;j
XN;shweal992j;p40p100;2000;1.0066;992;j
XN;shweal992j;p40p100;2001;1.0061;992;j
XN;shweal992j;p40p100;2002;1.0054;992;j
XN;shweal992j;p40p100;2003;1.0051;992;j
XN;shweal992j;p40p100;2004;1.0035;992;j
XN;shweal992j;p40p100;2005;1.0026;992;j
XN;shweal992j;p40p100;2006;1.0021;992;j
XN;shweal992j;p40p100;2007;1.0025;992;j
XN;shweal992j;p40p100;2008;1.0017;992;j
XN;shweal992j;p40p100;2009;1.0016;992;j
XN;shweal992j;p40p100;2010;1.0011;992;j
XN;shweal992j;p40p100;2011;1.0013;992;j
XN;shweal992j;p40p100;2012;1.0014;992;j
XN;shweal992j;p40p100;2013;1.0012;992;j
