country;variable;percentile;year;value;age;pop
QB-MER;ahweal992j;p48p100;1995;13723.5;992;j
QB-MER;ahweal992j;p48p100;1996;14907.8;992;j
QB-MER;ahweal992j;p48p100;1997;14926.0;992;j
QB-MER;ahweal992j;p48p100;1998;15055.0;992;j
QB-MER;ahweal992j;p48p100;1999;14974.6;992;j
QB-MER;ahweal992j;p48p100;2000;14747.0;992;j
QB-MER;ahweal992j;p48p100;2001;15303.3;992;j
QB-MER;ahweal992j;p48p100;2002;15154.0;992;j
QB-MER;ahweal992j;p48p100;2003;14109.7;992;j
QB-MER;ahweal992j;p48p100;2004;12026.7;992;j
QB-MER;ahweal992j;p48p100;2005;12699.4;992;j
QB-MER;ahweal992j;p48p100;2006;13391.3;992;j
QB-MER;ahweal992j;p48p100;2007;13812.7;992;j
QB-MER;ahweal992j;p48p100;2008;13884.7;992;j
QB-MER;ahweal992j;p48p100;2009;14411.4;992;j
QB-MER;ahweal992j;p48p100;2010;15042.3;992;j
QB-MER;ahweal992j;p48p100;2011;15280.0;992;j
QB-MER;ahweal992j;p48p100;2012;15773.0;992;j
QB-MER;ahweal992j;p48p100;2013;16267.3;992;j
QB-MER;ahweal992j;p48p100;2014;16981.0;992;j
QB-MER;ahweal992j;p48p100;2015;17549.3;992;j
QB-MER;ahweal992j;p48p100;2016;17753.9;992;j
QB-MER;ahweal992j;p48p100;2017;18006.7;992;j
QB-MER;ahweal992j;p48p100;2018;18701.6;992;j
QB-MER;ahweal992j;p48p100;2019;19125.2;992;j
QB-MER;ahweal992j;p48p100;2020;18690.7;992;j
QB-MER;ahweal992j;p48p100;2021;19059.7;992;j
QB-MER;ahweal992j;p67p68;1995;1362.0;992;j
QB-MER;ahweal992j;p67p68;1996;1430.1;992;j
QB-MER;ahweal992j;p67p68;1997;1503.4;992;j
QB-MER;ahweal992j;p67p68;1998;1554.6;992;j
QB-MER;ahweal992j;p67p68;1999;1568.6;992;j
QB-MER;ahweal992j;p67p68;2000;1532.5;992;j
QB-MER;ahweal992j;p67p68;2001;1607.8;992;j
QB-MER;ahweal992j;p67p68;2002;1699.5;992;j
QB-MER;ahweal992j;p67p68;2003;1788.7;992;j
QB-MER;ahweal992j;p67p68;2004;1890.4;992;j
QB-MER;ahweal992j;p67p68;2005;2020.7;992;j
QB-MER;ahweal992j;p67p68;2006;2139.5;992;j
QB-MER;ahweal992j;p67p68;2007;2227.4;992;j
QB-MER;ahweal992j;p67p68;2008;2321.2;992;j
QB-MER;ahweal992j;p67p68;2009;2427.4;992;j
QB-MER;ahweal992j;p67p68;2010;2529.2;992;j
QB-MER;ahweal992j;p67p68;2011;2591.0;992;j
QB-MER;ahweal992j;p67p68;2012;2678.6;992;j
QB-MER;ahweal992j;p67p68;2013;2776.6;992;j
QB-MER;ahweal992j;p67p68;2014;2888.3;992;j
QB-MER;ahweal992j;p67p68;2015;2973.2;992;j
QB-MER;ahweal992j;p67p68;2016;3010.9;992;j
QB-MER;ahweal992j;p67p68;2017;3084.2;992;j
QB-MER;ahweal992j;p67p68;2018;3179.2;992;j
QB-MER;ahweal992j;p67p68;2019;3299.1;992;j
QB-MER;ahweal992j;p67p68;2020;3302.4;992;j
QB-MER;ahweal992j;p67p68;2021;3314.2;992;j
QB-MER;ahweal992j;p97p98;1995;30920.4;992;j
QB-MER;ahweal992j;p97p98;1996;33265.2;992;j
QB-MER;ahweal992j;p97p98;1997;33622.3;992;j
QB-MER;ahweal992j;p97p98;1998;34668.0;992;j
QB-MER;ahweal992j;p97p98;1999;34460.3;992;j
QB-MER;ahweal992j;p97p98;2000;36539.2;992;j
QB-MER;ahweal992j;p97p98;2001;36241.1;992;j
QB-MER;ahweal992j;p97p98;2002;37821.2;992;j
QB-MER;ahweal992j;p97p98;2003;37292.4;992;j
QB-MER;ahweal992j;p97p98;2004;35426.6;992;j
QB-MER;ahweal992j;p97p98;2005;37453.7;992;j
QB-MER;ahweal992j;p97p98;2006;39607.7;992;j
QB-MER;ahweal992j;p97p98;2007;41066.8;992;j
QB-MER;ahweal992j;p97p98;2008;41937.6;992;j
QB-MER;ahweal992j;p97p98;2009;42973.0;992;j
QB-MER;ahweal992j;p97p98;2010;44383.8;992;j
QB-MER;ahweal992j;p97p98;2011;45377.5;992;j
QB-MER;ahweal992j;p97p98;2012;47140.6;992;j
QB-MER;ahweal992j;p97p98;2013;48486.1;992;j
QB-MER;ahweal992j;p97p98;2014;49947.4;992;j
QB-MER;ahweal992j;p97p98;2015;51063.5;992;j
QB-MER;ahweal992j;p97p98;2016;51953.3;992;j
QB-MER;ahweal992j;p97p98;2017;50757.5;992;j
QB-MER;ahweal992j;p97p98;2018;53144.4;992;j
QB-MER;ahweal992j;p97p98;2019;54473.0;992;j
QB-MER;ahweal992j;p97p98;2020;51975.8;992;j
QB-MER;ahweal992j;p97p98;2021;53028.9;992;j
QB-MER;aptinc992j;p47p100;1980;10062.6;992;j
QB-MER;aptinc992j;p47p100;1981;10392.8;992;j
QB-MER;aptinc992j;p47p100;1982;10239.5;992;j
QB-MER;aptinc992j;p47p100;1983;9884.0;992;j
QB-MER;aptinc992j;p47p100;1984;9764.9;992;j
QB-MER;aptinc992j;p47p100;1985;9961.8;992;j
QB-MER;aptinc992j;p47p100;1986;9833.2;992;j
QB-MER;aptinc992j;p47p100;1987;9725.7;992;j
QB-MER;aptinc992j;p47p100;1988;10031.6;992;j
QB-MER;aptinc992j;p47p100;1989;10121.5;992;j
QB-MER;aptinc992j;p47p100;1990;10271.3;992;j
QB-MER;aptinc992j;p47p100;1991;10311.3;992;j
QB-MER;aptinc992j;p47p100;1992;9356.6;992;j
QB-MER;aptinc992j;p47p100;1993;9207.2;992;j
QB-MER;aptinc992j;p47p100;1994;9343.1;992;j
QB-MER;aptinc992j;p47p100;1995;9237.7;992;j
QB-MER;aptinc992j;p47p100;1996;9806.9;992;j
QB-MER;aptinc992j;p47p100;1997;9768.1;992;j
QB-MER;aptinc992j;p47p100;1998;9713.7;992;j
QB-MER;aptinc992j;p47p100;1999;9431.7;992;j
QB-MER;aptinc992j;p47p100;2000;9249.1;992;j
QB-MER;aptinc992j;p47p100;2001;9512.9;992;j
QB-MER;aptinc992j;p47p100;2002;9129.5;992;j
QB-MER;aptinc992j;p47p100;2003;8341.2;992;j
QB-MER;aptinc992j;p47p100;2004;8195.3;992;j
QB-MER;aptinc992j;p47p100;2005;8119.6;992;j
QB-MER;aptinc992j;p47p100;2006;8099.5;992;j
QB-MER;aptinc992j;p47p100;2007;8136.7;992;j
QB-MER;aptinc992j;p47p100;2008;7666.1;992;j
QB-MER;aptinc992j;p47p100;2009;7818.7;992;j
QB-MER;aptinc992j;p47p100;2010;8272.8;992;j
QB-MER;aptinc992j;p47p100;2011;8574.3;992;j
QB-MER;aptinc992j;p47p100;2012;9040.1;992;j
QB-MER;aptinc992j;p47p100;2013;8994.7;992;j
QB-MER;aptinc992j;p47p100;2014;9045.1;992;j
QB-MER;aptinc992j;p47p100;2015;9098.7;992;j
QB-MER;aptinc992j;p47p100;2016;8983.9;992;j
QB-MER;aptinc992j;p47p100;2017;8987.0;992;j
QB-MER;aptinc992j;p47p100;2018;9251.7;992;j
QB-MER;aptinc992j;p47p100;2019;8962.9;992;j
QB-MER;aptinc992j;p47p100;2020;8439.2;992;j
QB-MER;aptinc992j;p47p100;2021;8566.5;992;j
QB-MER;aptinc992j;p99.9p100;1980;1382837.9;992;j
QB-MER;aptinc992j;p99.9p100;1981;1511280.3;992;j
QB-MER;aptinc992j;p99.9p100;1982;1481983.1;992;j
QB-MER;aptinc992j;p99.9p100;1983;1473422.4;992;j
QB-MER;aptinc992j;p99.9p100;1984;1421867.8;992;j
QB-MER;aptinc992j;p99.9p100;1985;1473691.6;992;j
QB-MER;aptinc992j;p99.9p100;1986;1432876.9;992;j
QB-MER;aptinc992j;p99.9p100;1987;1382807.0;992;j
QB-MER;aptinc992j;p99.9p100;1988;1447112.3;992;j
QB-MER;aptinc992j;p99.9p100;1989;1471379.4;992;j
QB-MER;aptinc992j;p99.9p100;1990;1519439.3;992;j
QB-MER;aptinc992j;p99.9p100;1991;1566919.4;992;j
QB-MER;aptinc992j;p99.9p100;1992;1331368.9;992;j
QB-MER;aptinc992j;p99.9p100;1993;1298801.4;992;j
QB-MER;aptinc992j;p99.9p100;1994;1374356.6;992;j
QB-MER;aptinc992j;p99.9p100;1995;1327961.8;992;j
QB-MER;aptinc992j;p99.9p100;1996;1445578.8;992;j
QB-MER;aptinc992j;p99.9p100;1997;1423370.8;992;j
QB-MER;aptinc992j;p99.9p100;1998;1386805.3;992;j
QB-MER;aptinc992j;p99.9p100;1999;1296585.8;992;j
QB-MER;aptinc992j;p99.9p100;2000;1229105.4;992;j
QB-MER;aptinc992j;p99.9p100;2001;1282308.6;992;j
QB-MER;aptinc992j;p99.9p100;2002;1149029.9;992;j
QB-MER;aptinc992j;p99.9p100;2003;916437.1;992;j
QB-MER;aptinc992j;p99.9p100;2004;848969.0;992;j
QB-MER;aptinc992j;p99.9p100;2005;793615.8;992;j
QB-MER;aptinc992j;p99.9p100;2006;743247.7;992;j
QB-MER;aptinc992j;p99.9p100;2007;718672.1;992;j
QB-MER;aptinc992j;p99.9p100;2008;572705.9;992;j
QB-MER;aptinc992j;p99.9p100;2009;597984.7;992;j
QB-MER;aptinc992j;p99.9p100;2010;685810.4;992;j
QB-MER;aptinc992j;p99.9p100;2011;754018.4;992;j
QB-MER;aptinc992j;p99.9p100;2012;866896.4;992;j
QB-MER;aptinc992j;p99.9p100;2013;849651.5;992;j
QB-MER;aptinc992j;p99.9p100;2014;854142.8;992;j
QB-MER;aptinc992j;p99.9p100;2015;848653.7;992;j
QB-MER;aptinc992j;p99.9p100;2016;840896.6;992;j
QB-MER;aptinc992j;p99.9p100;2017;868443.3;992;j
QB-MER;aptinc992j;p99.9p100;2018;991651.7;992;j
QB-MER;aptinc992j;p99.9p100;2019;962148.3;992;j
QB-MER;aptinc992j;p99.9p100;2020;877043.0;992;j
QB-MER;aptinc992j;p99.9p100;2021;889212.0;992;j
QB-MER;bhweal992j;p10p100;1995;2988.80224609375;992;j
QB-MER;bhweal992j;p10p100;1996;2763.25610351562;992;j
QB-MER;bhweal992j;p10p100;1997;2108.95043945312;992;j
QB-MER;bhweal992j;p10p100;1998;2979.3623046875;992;j
QB-MER;bhweal992j;p10p100;1999;2113.26293945312;992;j
QB-MER;bhweal992j;p10p100;2000;4535.044921875;992;j
QB-MER;bhweal992j;p10p100;2001;2463.92895507812;992;j
QB-MER;bhweal992j;p10p100;2002;4700.4326171875;992;j
QB-MER;bhweal992j;p10p100;2003;2614.47143554688;992;j
QB-MER;bhweal992j;p10p100;2004;1982.31689453125;992;j
QB-MER;bhweal992j;p10p100;2005;4982.88427734375;992;j
QB-MER;bhweal992j;p10p100;2006;-3983.443359375;992;j
QB-MER;bhweal992j;p10p100;2007;-4212.61962890625;992;j
QB-MER;bhweal992j;p10p100;2008;-12321.12890625;992;j
QB-MER;bhweal992j;p10p100;2009;-9129.10546875;992;j
QB-MER;bhweal992j;p10p100;2010;-6323.0849609375;992;j
QB-MER;bhweal992j;p10p100;2011;-4136.15869140625;992;j
QB-MER;bhweal992j;p10p100;2012;-4799.22265625;992;j
QB-MER;bhweal992j;p10p100;2013;-60544.09765625;992;j
QB-MER;bhweal992j;p10p100;2014;15407.861328125;992;j
QB-MER;bhweal992j;p10p100;2015;10708.83984375;992;j
QB-MER;bhweal992j;p10p100;2016;15609.99609375;992;j
QB-MER;bhweal992j;p10p100;2017;16339.5126953125;992;j
QB-MER;bhweal992j;p10p100;2018;49044.17578125;992;j
QB-MER;bhweal992j;p10p100;2019;-103847.109375;992;j
QB-MER;bhweal992j;p10p100;2020;-33784.26171875;992;j
QB-MER;bhweal992j;p10p100;2021;-122159.5234375;992;j
QB-MER;bptinc992j;p30p100;1980;15.7412109375;992;j
QB-MER;bptinc992j;p30p100;1981;16.4128932952881;992;j
QB-MER;bptinc992j;p30p100;1982;16.2578067779541;992;j
QB-MER;bptinc992j;p30p100;1983;16.1877574920654;992;j
QB-MER;bptinc992j;p30p100;1984;16.447566986084;992;j
QB-MER;bptinc992j;p30p100;1985;16.6723709106445;992;j
QB-MER;bptinc992j;p30p100;1986;16.3215084075928;992;j
QB-MER;bptinc992j;p30p100;1987;16.0976600646973;992;j
QB-MER;bptinc992j;p30p100;1988;16.4619026184082;992;j
QB-MER;bptinc992j;p30p100;1989;16.6677913665771;992;j
QB-MER;bptinc992j;p30p100;1990;17.1882019042969;992;j
QB-MER;bptinc992j;p30p100;1991;17.8629016876221;992;j
QB-MER;bptinc992j;p30p100;1992;16.6579914093018;992;j
QB-MER;bptinc992j;p30p100;1993;16.4221172332764;992;j
QB-MER;bptinc992j;p30p100;1994;16.9913082122803;992;j
QB-MER;bptinc992j;p30p100;1995;16.5011253356934;992;j
QB-MER;bptinc992j;p30p100;1996;17.0209693908691;992;j
QB-MER;bptinc992j;p30p100;1997;16.6843090057373;992;j
QB-MER;bptinc992j;p30p100;1998;16.3389205932617;992;j
QB-MER;bptinc992j;p30p100;1999;15.6549520492554;992;j
QB-MER;bptinc992j;p30p100;2000;15.4821634292603;992;j
QB-MER;bptinc992j;p30p100;2001;15.6176738739014;992;j
QB-MER;bptinc992j;p30p100;2002;14.7446136474609;992;j
QB-MER;bptinc992j;p30p100;2003;13.1095390319824;992;j
QB-MER;bptinc992j;p30p100;2004;12.4266996383667;992;j
QB-MER;bptinc992j;p30p100;2005;11.8903274536133;992;j
QB-MER;bptinc992j;p30p100;2006;11.5387516021728;992;j
QB-MER;bptinc992j;p30p100;2007;11.228666305542;992;j
QB-MER;bptinc992j;p30p100;2008;10.3018341064453;992;j
QB-MER;bptinc992j;p30p100;2009;10.3859376907349;992;j
QB-MER;bptinc992j;p30p100;2010;10.6243934631348;992;j
QB-MER;bptinc992j;p30p100;2011;10.7468156814575;992;j
QB-MER;bptinc992j;p30p100;2012;11.1205825805664;992;j
QB-MER;bptinc992j;p30p100;2013;10.9286298751831;992;j
QB-MER;bptinc992j;p30p100;2014;10.5882816314697;992;j
QB-MER;bptinc992j;p30p100;2015;10.5810747146606;992;j
QB-MER;bptinc992j;p30p100;2016;10.5008382797241;992;j
QB-MER;bptinc992j;p30p100;2017;10.4506740570068;992;j
QB-MER;bptinc992j;p30p100;2018;10.6576566696167;992;j
QB-MER;bptinc992j;p30p100;2019;10.3060626983643;992;j
QB-MER;bptinc992j;p30p100;2020;10.0923671722412;992;j
QB-MER;bptinc992j;p30p100;2021;10.2406578063965;992;j
QB-MER;bptinc992j;p58p100;1980;8.69453907012939;992;j
QB-MER;bptinc992j;p58p100;1981;9.28375625610352;992;j
QB-MER;bptinc992j;p58p100;1982;9.20347881317139;992;j
QB-MER;bptinc992j;p58p100;1983;9.18221759796143;992;j
QB-MER;bptinc992j;p58p100;1984;9.01128005981445;992;j
QB-MER;bptinc992j;p58p100;1985;9.07233333587646;992;j
QB-MER;bptinc992j;p58p100;1986;8.89403343200684;992;j
QB-MER;bptinc992j;p58p100;1987;8.82686042785645;992;j
QB-MER;bptinc992j;p58p100;1988;8.93868064880371;992;j
QB-MER;bptinc992j;p58p100;1989;8.98683929443359;992;j
QB-MER;bptinc992j;p58p100;1990;9.13105010986328;992;j
QB-MER;bptinc992j;p58p100;1991;9.3406229019165;992;j
QB-MER;bptinc992j;p58p100;1992;8.59330368041992;992;j
QB-MER;bptinc992j;p58p100;1993;8.51839065551758;992;j
QB-MER;bptinc992j;p58p100;1994;8.61843776702881;992;j
QB-MER;bptinc992j;p58p100;1995;8.4361629486084;992;j
QB-MER;bptinc992j;p58p100;1996;8.89647674560547;992;j
QB-MER;bptinc992j;p58p100;1997;8.79448699951172;992;j
QB-MER;bptinc992j;p58p100;1998;8.73190116882324;992;j
QB-MER;bptinc992j;p58p100;1999;8.63588523864746;992;j
QB-MER;bptinc992j;p58p100;2000;8.43482112884521;992;j
QB-MER;bptinc992j;p58p100;2001;8.47531223297119;992;j
QB-MER;bptinc992j;p58p100;2002;7.89995622634888;992;j
QB-MER;bptinc992j;p58p100;2003;7.02592706680298;992;j
QB-MER;bptinc992j;p58p100;2004;6.71828889846802;992;j
QB-MER;bptinc992j;p58p100;2005;6.45853900909424;992;j
QB-MER;bptinc992j;p58p100;2006;6.26483821868896;992;j
QB-MER;bptinc992j;p58p100;2007;6.21618127822876;992;j
QB-MER;bptinc992j;p58p100;2008;5.66539096832275;992;j
QB-MER;bptinc992j;p58p100;2009;5.70563697814941;992;j
QB-MER;bptinc992j;p58p100;2010;5.89057207107544;992;j
QB-MER;bptinc992j;p58p100;2011;6.16200971603394;992;j
QB-MER;bptinc992j;p58p100;2012;6.47694492340088;992;j
QB-MER;bptinc992j;p58p100;2013;6.33066177368164;992;j
QB-MER;bptinc992j;p58p100;2014;6.2428765296936;992;j
QB-MER;bptinc992j;p58p100;2015;6.22065544128418;992;j
QB-MER;bptinc992j;p58p100;2016;6.16536331176758;992;j
QB-MER;bptinc992j;p58p100;2017;6.13103580474854;992;j
QB-MER;bptinc992j;p58p100;2018;6.26956272125244;992;j
QB-MER;bptinc992j;p58p100;2019;6.04638910293579;992;j
QB-MER;bptinc992j;p58p100;2020;5.96591567993164;992;j
QB-MER;bptinc992j;p58p100;2021;5.97540903091431;992;j
QB-MER;shweal992j;p99.1p99.2;1995;0.0144;992;j
QB-MER;shweal992j;p99.1p99.2;1996;0.0139;992;j
QB-MER;shweal992j;p99.1p99.2;1997;0.0139;992;j
QB-MER;shweal992j;p99.1p99.2;1998;0.0142;992;j
QB-MER;shweal992j;p99.1p99.2;1999;0.0144;992;j
QB-MER;shweal992j;p99.1p99.2;2000;0.0145;992;j
QB-MER;shweal992j;p99.1p99.2;2001;0.0147;992;j
QB-MER;shweal992j;p99.1p99.2;2002;0.0149;992;j
QB-MER;shweal992j;p99.1p99.2;2003;0.0148;992;j
QB-MER;shweal992j;p99.1p99.2;2004;0.0145;992;j
QB-MER;shweal992j;p99.1p99.2;2005;0.0149;992;j
QB-MER;shweal992j;p99.1p99.2;2006;0.0145;992;j
QB-MER;shweal992j;p99.1p99.2;2007;0.0146;992;j
QB-MER;shweal992j;p99.1p99.2;2008;0.0149;992;j
QB-MER;shweal992j;p99.1p99.2;2009;0.0145;992;j
QB-MER;shweal992j;p99.1p99.2;2010;0.0143;992;j
QB-MER;shweal992j;p99.1p99.2;2011;0.0138;992;j
QB-MER;shweal992j;p99.1p99.2;2012;0.014;992;j
QB-MER;shweal992j;p99.1p99.2;2013;0.0137;992;j
QB-MER;shweal992j;p99.1p99.2;2014;0.0138;992;j
QB-MER;shweal992j;p99.1p99.2;2015;0.0138;992;j
QB-MER;shweal992j;p99.1p99.2;2016;0.0138;992;j
QB-MER;shweal992j;p99.1p99.2;2017;0.0139;992;j
QB-MER;shweal992j;p99.1p99.2;2018;0.014;992;j
QB-MER;shweal992j;p99.1p99.2;2019;0.014;992;j
QB-MER;shweal992j;p99.1p99.2;2020;0.0142;992;j
QB-MER;shweal992j;p99.1p99.2;2021;0.0141;992;j
QB-MER;sptinc992j;p51p52;1980;0.0021;992;j
QB-MER;sptinc992j;p51p52;1981;0.002;992;j
QB-MER;sptinc992j;p51p52;1982;0.002;992;j
QB-MER;sptinc992j;p51p52;1983;0.002;992;j
QB-MER;sptinc992j;p51p52;1984;0.002;992;j
QB-MER;sptinc992j;p51p52;1985;0.002;992;j
QB-MER;sptinc992j;p51p52;1986;0.0021;992;j
QB-MER;sptinc992j;p51p52;1987;0.0021;992;j
QB-MER;sptinc992j;p51p52;1988;0.002;992;j
QB-MER;sptinc992j;p51p52;1989;0.002;992;j
QB-MER;sptinc992j;p51p52;1990;0.002;992;j
QB-MER;sptinc992j;p51p52;1991;0.0019;992;j
QB-MER;sptinc992j;p51p52;1992;0.0021;992;j
QB-MER;sptinc992j;p51p52;1993;0.0021;992;j
QB-MER;sptinc992j;p51p52;1994;0.002;992;j
QB-MER;sptinc992j;p51p52;1995;0.0021;992;j
QB-MER;sptinc992j;p51p52;1996;0.002;992;j
QB-MER;sptinc992j;p51p52;1997;0.002;992;j
QB-MER;sptinc992j;p51p52;1998;0.002;992;j
QB-MER;sptinc992j;p51p52;1999;0.0021;992;j
QB-MER;sptinc992j;p51p52;2000;0.0021;992;j
QB-MER;sptinc992j;p51p52;2001;0.0021;992;j
QB-MER;sptinc992j;p51p52;2002;0.0023;992;j
QB-MER;sptinc992j;p51p52;2003;0.0025;992;j
QB-MER;sptinc992j;p51p52;2004;0.0026;992;j
QB-MER;sptinc992j;p51p52;2005;0.0027;992;j
QB-MER;sptinc992j;p51p52;2006;0.0028;992;j
QB-MER;sptinc992j;p51p52;2007;0.0028;992;j
QB-MER;sptinc992j;p51p52;2008;0.0031;992;j
QB-MER;sptinc992j;p51p52;2009;0.0031;992;j
QB-MER;sptinc992j;p51p52;2010;0.003;992;j
QB-MER;sptinc992j;p51p52;2011;0.0029;992;j
QB-MER;sptinc992j;p51p52;2012;0.0028;992;j
QB-MER;sptinc992j;p51p52;2013;0.0028;992;j
QB-MER;sptinc992j;p51p52;2014;0.0029;992;j
QB-MER;sptinc992j;p51p52;2015;0.0029;992;j
QB-MER;sptinc992j;p51p52;2016;0.0029;992;j
QB-MER;sptinc992j;p51p52;2017;0.0029;992;j
QB-MER;sptinc992j;p51p52;2018;0.0028;992;j
QB-MER;sptinc992j;p51p52;2019;0.0029;992;j
QB-MER;sptinc992j;p51p52;2020;0.003;992;j
QB-MER;sptinc992j;p51p52;2021;0.003;992;j
QB-MER;sptinc992j;p8p100;1980;1.0004;992;j
QB-MER;sptinc992j;p8p100;1981;1.0025;992;j
QB-MER;sptinc992j;p8p100;1982;1.0048;992;j
QB-MER;sptinc992j;p8p100;1983;1.0028;992;j
QB-MER;sptinc992j;p8p100;1984;1.0035;992;j
QB-MER;sptinc992j;p8p100;1985;1.0011;992;j
QB-MER;sptinc992j;p8p100;1986;1.0014;992;j
QB-MER;sptinc992j;p8p100;1987;1.001;992;j
QB-MER;sptinc992j;p8p100;1988;1.001;992;j
QB-MER;sptinc992j;p8p100;1989;0.9998;992;j
QB-MER;sptinc992j;p8p100;1990;0.9998;992;j
QB-MER;sptinc992j;p8p100;1991;0.9998;992;j
QB-MER;sptinc992j;p8p100;1992;0.9998;992;j
QB-MER;sptinc992j;p8p100;1993;0.9998;992;j
QB-MER;sptinc992j;p8p100;1994;0.9998;992;j
QB-MER;sptinc992j;p8p100;1995;0.9998;992;j
QB-MER;sptinc992j;p8p100;1996;0.9998;992;j
QB-MER;sptinc992j;p8p100;1997;0.9998;992;j
QB-MER;sptinc992j;p8p100;1998;0.9998;992;j
QB-MER;sptinc992j;p8p100;1999;0.9998;992;j
QB-MER;sptinc992j;p8p100;2000;0.9998;992;j
QB-MER;sptinc992j;p8p100;2001;0.9998;992;j
QB-MER;sptinc992j;p8p100;2002;0.9998;992;j
QB-MER;sptinc992j;p8p100;2003;0.9997;992;j
QB-MER;sptinc992j;p8p100;2004;0.9997;992;j
QB-MER;sptinc992j;p8p100;2005;0.9997;992;j
QB-MER;sptinc992j;p8p100;2006;0.9997;992;j
QB-MER;sptinc992j;p8p100;2007;0.9997;992;j
QB-MER;sptinc992j;p8p100;2008;0.9997;992;j
QB-MER;sptinc992j;p8p100;2009;0.9997;992;j
QB-MER;sptinc992j;p8p100;2010;0.9997;992;j
QB-MER;sptinc992j;p8p100;2011;0.9997;992;j
QB-MER;sptinc992j;p8p100;2012;0.9997;992;j
QB-MER;sptinc992j;p8p100;2013;0.9997;992;j
QB-MER;sptinc992j;p8p100;2014;0.9997;992;j
QB-MER;sptinc992j;p8p100;2015;0.9997;992;j
QB-MER;sptinc992j;p8p100;2016;0.9997;992;j
QB-MER;sptinc992j;p8p100;2017;0.9997;992;j
QB-MER;sptinc992j;p8p100;2018;0.9997;992;j
QB-MER;sptinc992j;p8p100;2019;0.9997;992;j
QB-MER;sptinc992j;p8p100;2020;0.9997;992;j
QB-MER;sptinc992j;p8p100;2021;0.9997;992;j
QB-MER;sptinc992j;p99.93p100;1980;0.2242;992;j
QB-MER;sptinc992j;p99.93p100;1981;0.2379;992;j
QB-MER;sptinc992j;p99.93p100;1982;0.2364;992;j
QB-MER;sptinc992j;p99.93p100;1983;0.2439;992;j
QB-MER;sptinc992j;p99.93p100;1984;0.2391;992;j
QB-MER;sptinc992j;p99.93p100;1985;0.2422;992;j
QB-MER;sptinc992j;p99.93p100;1986;0.2377;992;j
QB-MER;sptinc992j;p99.93p100;1987;0.2311;992;j
QB-MER;sptinc992j;p99.93p100;1988;0.2355;992;j
QB-MER;sptinc992j;p99.93p100;1989;0.237;992;j
QB-MER;sptinc992j;p99.93p100;1990;0.2411;992;j
QB-MER;sptinc992j;p99.93p100;1991;0.2481;992;j
QB-MER;sptinc992j;p99.93p100;1992;0.2313;992;j
QB-MER;sptinc992j;p99.93p100;1993;0.2291;992;j
QB-MER;sptinc992j;p99.93p100;1994;0.2398;992;j
QB-MER;sptinc992j;p99.93p100;1995;0.2337;992;j
QB-MER;sptinc992j;p99.93p100;1996;0.2399;992;j
QB-MER;sptinc992j;p99.93p100;1997;0.2366;992;j
QB-MER;sptinc992j;p99.93p100;1998;0.2308;992;j
QB-MER;sptinc992j;p99.93p100;1999;0.2203;992;j
QB-MER;sptinc992j;p99.93p100;2000;0.2134;992;j
QB-MER;sptinc992j;p99.93p100;2001;0.2161;992;j
QB-MER;sptinc992j;p99.93p100;2002;0.2007;992;j
QB-MER;sptinc992j;p99.93p100;2003;0.1739;992;j
QB-MER;sptinc992j;p99.93p100;2004;0.1634;992;j
QB-MER;sptinc992j;p99.93p100;2005;0.1537;992;j
QB-MER;sptinc992j;p99.93p100;2006;0.1437;992;j
QB-MER;sptinc992j;p99.93p100;2007;0.1376;992;j
QB-MER;sptinc992j;p99.93p100;2008;0.1149;992;j
QB-MER;sptinc992j;p99.93p100;2009;0.1178;992;j
QB-MER;sptinc992j;p99.93p100;2010;0.1283;992;j
QB-MER;sptinc992j;p99.93p100;2011;0.1363;992;j
QB-MER;sptinc992j;p99.93p100;2012;0.1491;992;j
QB-MER;sptinc992j;p99.93p100;2013;0.1469;992;j
QB-MER;sptinc992j;p99.93p100;2014;0.1468;992;j
QB-MER;sptinc992j;p99.93p100;2015;0.1449;992;j
QB-MER;sptinc992j;p99.93p100;2016;0.1454;992;j
QB-MER;sptinc992j;p99.93p100;2017;0.1502;992;j
QB-MER;sptinc992j;p99.93p100;2018;0.1684;992;j
QB-MER;sptinc992j;p99.93p100;2019;0.1697;992;j
QB-MER;sptinc992j;p99.93p100;2020;0.1638;992;j
QB-MER;sptinc992j;p99.93p100;2021;0.1637;992;j
QB-MER;sptinc992j;p99p99.1;1980;0.0126;992;j
QB-MER;sptinc992j;p99p99.1;1981;0.0132;992;j
QB-MER;sptinc992j;p99p99.1;1982;0.0133;992;j
QB-MER;sptinc992j;p99p99.1;1983;0.0125;992;j
QB-MER;sptinc992j;p99p99.1;1984;0.013;992;j
QB-MER;sptinc992j;p99p99.1;1985;0.0123;992;j
QB-MER;sptinc992j;p99p99.1;1986;0.0124;992;j
QB-MER;sptinc992j;p99p99.1;1987;0.0126;992;j
QB-MER;sptinc992j;p99p99.1;1988;0.0125;992;j
QB-MER;sptinc992j;p99p99.1;1989;0.0124;992;j
QB-MER;sptinc992j;p99p99.1;1990;0.0123;992;j
QB-MER;sptinc992j;p99p99.1;1991;0.0124;992;j
QB-MER;sptinc992j;p99p99.1;1992;0.0123;992;j
QB-MER;sptinc992j;p99p99.1;1993;0.0125;992;j
QB-MER;sptinc992j;p99p99.1;1994;0.0126;992;j
QB-MER;sptinc992j;p99p99.1;1995;0.0127;992;j
